,0,1
0,"('ku', 4)","[0.8543193340301514, 0.9421536922454834, 0.9836428761482239, 0.9597887396812439, 0.8818367719650269]"
1,"('wd', 1)","[0.9246339201927185, 0.9730381369590759, 0.9801016449928284, 0.9611508250236511, 0.8693255186080933]"
2,"('mp', 16)","[0.8966299891471863, 0.8859568238258362, 0.9718464016914368, 0.9749558568000793, 0.9064627289772034]"
3,"('mo', 10)","[0.91629958152771, 0.9745184183120728, 0.9583657383918762, 0.9373758435249329, 0.8985056281089783]"
4,"('zp', 7)","[0.8872373104095459, 0.9356740117073059, 0.9685631394386292, 0.9554075002670288, 0.7027766108512878]"
5,"('mp', 3)","[0.800323486328125, 0.9733980298042297, 0.9750156998634338, 0.9733081459999084, 0.921002984046936]"
6,"('mu', 12)","[0.8977841138839722, 0.9706040024757385, 0.9629199504852295, 0.9782861471176147, 0.8480921983718872]"
7,"('jp', 2)","[0.8879928588867188, 0.9637992978096008, 0.9574334621429443, 0.9816291928291321, 0.9040236473083496]"
8,"('dd', 5)","[0.8766704797744751, 0.9633123874664307, 0.9509958028793335, 0.9570230841636658, 0.9381551146507263]"
9,"('mk', 13)","[0.8473334312438965, 0.9537400007247925, 0.9792128205299377, 0.9615777730941772, 0.9223888516426086]"
10,"('sw', 6)","[0.8775805234909058, 0.9373831748962402, 0.9740017056465149, 0.9606627225875854, 0.9504672884941101]"
11,"('jP', 17)","[0.9323770403862, 0.9118852615356445, 0.9710441827774048, 0.9729151725769043, 0.9460037350654602]"
12,"('ku', 8)","[0.916817843914032, 0.9600932598114014, 0.9489505290985107, 0.9538740515708923, 0.938066840171814]"
13,"('sk', 11)","[0.9091300368309021, 0.9807046055793762, 0.9533982276916504, 0.9796709418296814, 0.9477991461753845]"
14,"('mo', 14)","[0.9126614928245544, 0.9602894186973572, 0.958308219909668, 0.9822551608085632, 0.9486604928970337]"
15,"('pp', 9)","[0.9382437467575073, 0.9746373891830444, 0.9798488616943359, 0.9446664452552795, 0.9633426070213318]"
